Striker,Season,Venue,Batting Team,total_runs,balls_faced,strike_rate,Bowler,Bowling Team,total_wickets,total_runs_conceded,balls_bowled,economy_rate
MP Stoinis,16,Saurashtra Cricket Association Stadium,Punjab Kings,27,19,142.1052632,MP Stoinis,Punjab Kings,0,23,24,5.75
MP Stoinis,17,"Eden Gardens, Kolkata",Punjab Kings,9,13,69.23076923,MP Stoinis,Punjab Kings,0,14,9,9.333333333
MP Stoinis,17,Holkar Cricket Stadium,Punjab Kings,1,3,33.33333333,MP Stoinis,Punjab Kings,2,84,53,9.509433962
MP Stoinis,17,Saurashtra Cricket Association Stadium,Punjab Kings,7,9,77.77777778,MP Stoinis,Punjab Kings,0,12,7,10.28571429
MP Stoinis,18,Holkar Cricket Stadium,Punjab Kings,54,36,150,MP Stoinis,Punjab Kings,1,55,30,11
MP Stoinis,18,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,11,9,122.2222222,0,0,0,0,0,0
MP Stoinis,18,"Punjab Cricket Association IS Bindra Stadium, Mohali",Punjab Kings,22,15,146.6666667,MP Stoinis,Punjab Kings,0,7,6,7
MP Stoinis,18,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,11,16,68.75,MP Stoinis,Punjab Kings,1,15,12,7.5
MP Stoinis,18,"Wankhede Stadium, Mumbai",Punjab Kings,1,2,50,MP Stoinis,Punjab Kings,1,43,18,14.33333333
MP Stoinis,19,"Arun Jaitley Stadium, Delhi",Royal Challengers Bengaluru,32,25,128,MP Stoinis,Royal Challengers Bengaluru,0,24,18,8
MP Stoinis,19,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,17,10,170,MP Stoinis,Royal Challengers Bengaluru,1,32,25,7.68
MP Stoinis,19,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,103,78,132.0512821,MP Stoinis,Royal Challengers Bengaluru,1,61,42,8.714285714
MP Stoinis,19,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bengaluru,28,16,175,0,0,0,0,0,0
